"id","title","street_number","street_name","city","state_province","country","postal_code","website","email","distributor_number","responsibility_center","customer_posting_group","customer_price_group","customer_disc_group","contact","latitude","longitude"
"21273","Zeramics Importacao e Comercio","","","Sao Paulo","","Brazil","01457-060","https://www.zeramics.com.br/","","","","DIST-INTL","","","","-23.5736958","-46.6929462"
"45002","Your Ceramic Store","Silicon Oasis, SIT Tower, Office 602","P O Box 430090","Dubai","","United Arab Emirates","","https://yourceramicstore.com/","","","","DIST-INTL","","","","25.119870","55.386700"
"40730","Yaro975","","","Montevideo","","Uruguay","11100","https://yaro975.com.uy","","","","DIST-INTL","","","","-34.906520","-56.194180"
"21376","West’s Ceramic Supply, Inc.","","","Highland","New York","United States","12528","https://westsceramicsupply.com","","","","DIST-US","","","","41.7209267","-73.9601382"
"27433","Webster’s Works, Wood’s Ceramics","","","Lake View","New York","United States","14085","","","","","","","","","42.72871337170620","-78.91671095354740"
"45143","Van Tuyl Kiln & Furnace","28 Van Der Bijl Street","","Alrode South Alberton","","South Africa","1449","https://vantuyl.co.za/","","","","DIST-INTL","","","","-26.348910","28.121060"
"45107","Ulster Ceramics Plc","","","Maghera","","United Kingdom","BT46 5QE","http://www.ulsterceramicspotterysupplies.co.uk/","","","","","","","","54.91354574837201","-6.661856872654075"
"49871","Tucker’s Pottery Supplies Inc.","15 West Pearce St #7","","Richmond Hill","Ontario","Canada","L4B 1H6","https://www.tuckerspottery.com","","","","DIST-INTL","","","","43.848080","-79.384450"
"21372","Trinity Ceramic Supply, Inc.","","","Dallas","Texas","United States","75247","https://trinityceramic.com","","","","DIST-US","","","","32.8166692","-96.8833562"
"45943","Töpferstudio Alte Scheuer","","Klosterstraße 12a","Bruchsal","","Germany","76646","https://mayco-glasuren.de/","","","","","","","","49.123151801016918603871883466947","8.603871883466947"
"44769","Third Branch Pottery Supply","15 North Main St, Unit 101","","Randolph","Vermont","United States","05060","https://www.thirdbranchpotterysupply.com/","","","","DIST-US","","","","43.922970","-72.664730"
"52263","Thien Minh Book Joint Stock co.","333 National Highway 13, Ward Hiep Binh Phuoc","","Thu Duc, Ho Chi Minh","","Vietnam","700000","https://thegioigom.com/cua-hang/?filter_brand=mayco","","","","DIST-INTL","","","","10.860341","106.723881"
"21371","The Tilted Kiln","","","St. George","Utah","United States","84770","","","","","DIST-US","","","","37.1963372","-113.5966577"
"21340","The Potter’s Shop","1314","S West Ave.","Waukesha","Wisconsin","United States","53186","https://www.pottersshop.com/","","","","DIST-US","","","","42.989520","-88.237760"
"39940","The Potter’s Center","110","Ellen St.","Garden City","Idaho","United States","83714","https://thepotterscenter.com","","","","DIST-US","","","","43.639470","-116.265040"
"35855","Sunstone Pottery and Supply","217","S. Main","Coalville","Utah","United States","84017","https://sunstonepotterysupply.com/","","","","DIST-US","","","","40.911130","-111.395640"
